"","X","post_date","wday","post_topic","post_style","post_tone","post_type","post_reactions","post_shares","post_comments","total_inter"
"501",501,"2018-10-21","Sun","Intimate Relations","Storytelling","Neutral","photo",14,1,2,17
"502",502,"2018-10-22","Mon","Intimate Relations","Request for opinion","Neutral","status",17,0,46,63
"503",503,"2018-10-22","Mon","Intimate Relations","Storytelling","Neutral","status",127,18,16,161
"504",504,"2018-10-22","Mon","Sexual Abstinence","Counsel","Neutral","status",136,18,22,176
"505",505,"2018-10-23","Tue","Intimate Relations","Counsel","Neutral","status",61,12,32,105
"506",506,"2018-10-23","Tue","Sexual Abstinence","Experience sharing","Neutral","photo",1352,18,180,1550
"507",507,"2018-10-23","Tue","Sexual Purity","Request for opinion","Neutral","status",76,3,92,171
"508",508,"2018-10-23","Tue","Intimate Relations","Storytelling","Neutral","status",36,1,39,76
"509",509,"2018-10-24","Wed","Family Planning","Counsel","Neutral","photo",448,23,22,493
"510",510,"2018-10-24","Wed","Sexual Abstinence","Storytelling","Neutral","photo",46,5,5,56
"511",511,"2018-10-25","Thu","Intimate Relations","Storytelling","Neutral","status",49,5,13,67
"512",512,"2018-10-25","Thu","Sexual Abstinence","Storytelling","Neutral","photo",268,30,38,336
"513",513,"2018-10-26","Fri","Abuse","Storytelling","Neutral","status",83,8,29,120
"514",514,"2018-11-09","Fri","Sexual Abstinence","Counsel","Guilt","status",17,1,3,21
"515",515,"2018-10-26","Fri","Sexual Abstinence","Storytelling","Guilt","status",201,10,77,288
"516",516,"2018-10-26","Fri","Abuse","Storytelling","Neutral","photo",754,44,112,910
"517",517,"2018-10-26","Fri","Intimate Relations","Counsel","Neutral","status",52,3,26,81
"518",518,"2018-10-27","Sat","Intimate Relations","Counsel","Neutral","link",74,30,19,123
"519",519,"2018-10-27","Sat","Sexual Purity","Storytelling","Enact fear","photo",39,26,14,79
"520",520,"2018-10-28","Sun","Sexual Purity","Counsel","Neutral","status",71,23,25,119
"521",521,"2018-10-29","Mon","Sexual Abstinence","Storytelling","Neutral","status",13,0,1,14
"522",522,"2018-10-30","Tue","Family Planning","Storytelling","Enact fear","photo",99,6,72,177
"523",523,"2018-10-30","Tue","Sexual Abstinence","Request for opinion","Neutral","status",24,0,75,99
"524",524,"2018-11-01","Thu","Abuse","Counsel","Neutral","photo",39,7,4,50
"525",525,"2018-10-30","Tue","Sexual Abstinence","Counsel","Enact fear","photo",28,3,5,36
"526",526,"2018-10-31","Wed","Intimate Relations","Counsel","Neutral","status",62,7,68,137
"527",527,"2018-10-31","Wed","Sexual Abstinence","Counsel","Guilt","status",7,1,0,8
"528",528,"2018-11-01","Thu","Sexual Abstinence","Counsel","Enact fear","status",24,0,1,25
"529",529,"2018-11-01","Thu","Intimate Relations","Storytelling","Guilt","status",96,20,30,146
"530",530,"2018-11-01","Thu","Sexual Abstinence","Counsel","Enact fear","status",120,17,12,149
"531",531,"2018-11-01","Thu","Sexual Abstinence","Counsel","Enact fear","status",60,6,7,73
"532",532,"2018-11-03","Sat","Intimate Relations","Counsel","Guilt","status",16,2,8,26
"533",533,"2018-11-01","Thu","Sexual Abstinence","Storytelling","Enact fear","photo",143,1,37,181
"534",534,"2018-11-08","Thu","Sexual Abstinence","Counsel","Guilt","photo",218,41,49,308
"535",535,"2018-11-08","Thu","Sexual Abstinence","Storytelling","Neutral","status",15,0,1,16
"536",536,"2018-11-02","Fri","Intimate Relations","Counsel","Neutral","status",153,24,38,215
"537",537,"2018-11-03","Sat","Intimate Relations","Counsel","Neutral","status",74,12,11,97
"538",538,"2018-11-08","Thu","Sexual Abstinence","Storytelling","Enact fear","status",53,0,14,67
"539",539,"2018-11-03","Sat","Sexual Abstinence","Request for opinion","Neutral","status",59,2,191,252
"540",540,"2018-11-03","Sat","Intimate Relations","Counsel","Neutral","status",259,45,65,369
"541",541,"2018-11-08","Thu","Intimate Relations","Request for opinion","Neutral","status",69,7,21,97
"542",542,"2018-11-05","Mon","Intimate Relations","Counsel","Neutral","status",78,23,32,133
"543",543,"2018-11-05","Mon","Intimate Relations","Counsel","Neutral","status",78,7,7,92
"544",544,"2018-11-06","Tue","Intimate Relations","Counsel","Neutral","status",36,2,4,42
"545",545,"2018-11-06","Tue","Intimate Relations","Counsel","Guilt","status",43,13,6,62
"546",546,"2018-11-07","Wed","Sexual Abstinence","Counsel","Neutral","status",188,0,41,229
"547",547,"2018-11-08","Thu","Sexual Abstinence","Counsel","Stigma","status",37,2,2,41
"548",548,"2018-11-08","Thu","Sexual Abstinence","Counsel","Neutral","status",148,8,19,175
"549",549,"2018-11-08","Thu","Sexual Purity","Request for opinion","Neutral","status",58,0,80,138
"550",550,"2018-11-09","Fri","Sexual Abstinence","Experience sharing","Neutral","status",118,1,23,142
"551",551,"2018-11-09","Fri","Sexual Abstinence","Counsel","Neutral","status",57,0,18,75
"552",552,"2018-11-09","Fri","Intimate Relations","Request for opinion","Neutral","status",25,0,79,104
"553",553,"2018-11-09","Fri","Sexual Purity","Counsel","Guilt","status",26,0,43,69
"554",554,"2018-11-09","Fri","Sexual Abstinence","Storytelling","Neutral","status",44,3,28,75
"555",555,"2018-11-14","Wed","Sexual Abstinence","Counsel","Neutral","photo",637,109,387,1133
"556",556,"2018-11-14","Wed","Sexual Abstinence","Experience sharing","Neutral","status",172,5,37,214
"557",557,"2018-11-14","Wed","Sexual Abstinence","Counsel","Neutral","status",93,6,5,104
"558",558,"2018-11-14","Wed","Sexual Abstinence","Experience sharing","Neutral","photo",175,37,19,231
"559",559,"2018-11-18","Sun","Sexual Purity","Storytelling","Neutral","photo",168,5,22,195
"560",560,"2018-11-19","Mon","Sexual Abstinence","Counsel","Neutral","photo",342,11,60,413
"561",561,"2018-11-20","Tue","Sexual Abstinence","Storytelling","Neutral","status",293,9,38,340
"562",562,"2018-11-21","Wed","Intimate Relations","Counsel","Neutral","photo",139,23,22,184
"563",563,"2018-11-25","Sun","Sexual Abstinence","Counsel","Neutral","photo",239,31,30,300
"564",564,"2018-11-26","Mon","Sexual Abstinence","Request for opinion","Neutral","status",15,0,60,75
"565",565,"2018-11-26","Mon","Sexual Abstinence","Counsel","Neutral","status",2,0,0,2
"566",566,"2018-11-26","Mon","Sexual Abstinence","Request for opinion","Neutral","status",46,0,95,141
"567",567,"2018-11-27","Tue","Intimate Relations","Counsel","Enact fear","status",83,4,70,157
"568",568,"2018-11-27","Tue","Sexual Abstinence","Counsel","Enact fear","status",14,1,1,16
"569",569,"2018-11-27","Tue","Intimate Relations","Storytelling","Neutral","status",464,18,61,543
"570",570,"2018-11-27","Tue","Sexual Abstinence","Counsel","Enact fear","photo",61,0,10,71
"571",571,"2018-11-27","Tue","Sexual Abstinence","Storytelling","Neutral","status",377,71,125,573
"572",572,"2018-11-27","Tue","Intimate Relations","Counsel","Neutral","photo",2818,3012,100,5930
"573",573,"2018-11-28","Wed","Intimate Relations","Counsel","Neutral","status",5,0,0,5
"574",574,"2018-11-28","Wed","Sexual Abstinence","Counsel","Guilt","status",26,1,5,32
"575",575,"2018-11-28","Wed","Sexual Purity","Storytelling","Guilt","status",123,22,19,164
"576",576,"2018-11-28","Wed","Sexual Abstinence","Storytelling","Enact fear","photo",65,6,9,80
"577",577,"2018-11-29","Thu","Intimate Relations","Storytelling","Neutral","status",82,5,143,230
"578",578,"2018-11-29","Thu","Sexual Abstinence","Counsel","Neutral","status",32,1,67,100
"579",579,"2018-11-29","Thu","Sexual Purity","Storytelling","Neutral","photo",72,2,35,109
"580",580,"2018-11-29","Thu","Sexual Purity","Request for opinion","Neutral","status",21,1,34,56
"581",581,"2018-11-30","Fri","Sexual Purity","Storytelling","Neutral","status",3,0,0,3
"582",582,"2018-12-01","Sat","Intimate Relations","Counsel","Neutral","link",7,0,0,7
"583",583,"2018-12-02","Sun","Sexual Abstinence","Request for opinion","Neutral","status",47,2,74,123
"584",584,"2018-12-02","Sun","Sexual Abstinence","Storytelling","Neutral","status",66,3,23,92
"585",585,"2018-12-03","Mon","Intimate Relations","Counsel","Neutral","photo",46,2,4,52
"586",586,"2018-12-04","Tue","Intimate Relations","Storytelling","Neutral","photo",24,1,0,25
"587",587,"2018-12-04","Tue","Intimate Relations","Request for opinion","Neutral","status",70,2,162,234
"588",588,"2018-12-05","Wed","Sexual Abstinence","Counsel","Enact fear","status",133,5,14,152
"589",589,"2018-12-05","Wed","Intimate Relations","Storytelling","Neutral","status",217,3,100,320
"590",590,"2018-12-06","Thu","Sexual Purity","Request for opinion","Neutral","status",17,0,30,47
"591",591,"2018-12-06","Thu","Intimate Relations","Counsel","Neutral","status",20,4,1,25
"592",592,"2018-12-07","Fri","Sexual Abstinence","Counsel","Guilt","photo",21,2,0,23
"593",593,"2018-12-07","Fri","Sexual Abstinence","Counsel","Neutral","status",25,2,4,31
"594",594,"2018-12-07","Fri","Sexual Abstinence","Storytelling","Guilt","status",83,22,46,151
"595",595,"2018-12-08","Sat","Intimate Relations","Counsel","Neutral","status",71,3,12,86
"596",596,"2018-12-08","Sat","Intimate Relations","Counsel","Neutral","photo",176,8,28,212
"597",597,"2018-12-09","Sun","Intimate Relations","Counsel","Neutral","status",359,36,57,452
"598",598,"2018-12-09","Sun","Sexual Abstinence","Storytelling","Neutral","status",78,2,27,107
"599",599,"2018-12-10","Mon","Sexual Abstinence","Counsel","Neutral","status",11,0,0,11
"600",600,"2018-12-10","Mon","Sexual Purity","Counsel","Enact fear","status",7,0,1,8
"601",601,"2018-12-10","Mon","Intimate Relations","Request for opinion","Neutral","status",3,0,0,3
"602",602,"2018-12-10","Mon","Sexual Abstinence","Counsel","Neutral","photo",175,5,23,203
"603",603,"2018-12-10","Mon","Sexual Purity","Counsel","Neutral","status",13,1,0,14
"604",604,"2018-12-10","Mon","Sexual Purity","Request for opinion","Neutral","status",29,2,67,98
"605",605,"2018-12-11","Tue","Intimate Relations","Counsel","Neutral","photo",108,9,30,147
"606",606,"2018-12-11","Tue","Sexual Abstinence","Counsel","Neutral","status",49,4,36,89
"607",607,"2018-12-11","Tue","Sexual Purity","Storytelling","Enact fear","photo",103,41,19,163
"608",608,"2018-12-11","Tue","Intimate Relations","Counsel","Neutral","status",283,31,46,360
"609",609,"2018-12-11","Tue","Intimate Relations","Counsel","Neutral","photo",215,28,82,325
"610",610,"2018-12-12","Wed","Abuse","Storytelling","Neutral","status",40,4,6,50
"611",611,"2018-12-12","Wed","Intimate Relations","Counsel","Neutral","status",9,2,0,11
"612",612,"2018-12-12","Wed","Intimate Relations","Experience sharing","Neutral","status",432,38,57,527
"613",613,"2018-12-13","Thu","Sexual Abstinence","Storytelling","Neutral","photo",455,5,21,481
"614",614,"2018-12-13","Thu","Intimate Relations","Storytelling","Neutral","photo",27,0,1,28
"615",615,"2018-12-14","Fri","Intimate Relations","Storytelling","Neutral","status",7,0,11,18
"616",616,"2018-12-14","Fri","Intimate Relations","Counsel","Neutral","status",38,0,11,49
"617",617,"2018-12-15","Sat","Sexual Abstinence","Storytelling","Neutral","photo",55,2,8,65
"618",618,"2018-12-16","Sun","Abuse","Storytelling","Neutral","status",19,0,14,33
"619",619,"2018-12-17","Mon","Sexual Abstinence","Counsel","Neutral","status",17,0,0,17
"620",620,"2018-12-18","Tue","Intimate Relations","Storytelling","Neutral","photo",25,2,3,30
"621",621,"2018-12-19","Wed","Sexual Abstinence","Counsel","Enact fear","photo",14,0,0,14
"622",622,"2018-12-19","Wed","Sexual Purity","Counsel","Neutral","photo",25,0,7,32
"623",623,"2018-12-19","Wed","Sexual Abstinence","Counsel","Enact fear","status",27,0,10,37
"624",624,"2018-12-19","Wed","Sexual Abstinence","Counsel","Neutral","photo",192,11,105,308
"625",625,"2018-12-20","Thu","Sexual Abstinence","Counsel","Stigma","status",136,12,252,400
"626",626,"2018-12-20","Thu","Intimate Relations","Storytelling","Neutral","status",16,3,3,22
"627",627,"2018-12-21","Fri","Sexual Abstinence","Storytelling","Neutral","status",115,7,49,171
"628",628,"2018-12-21","Fri","Sexual Abstinence","Counsel","Enact fear","status",38,8,9,55
"629",629,"2018-12-21","Fri","Sexual Abstinence","Counsel","Neutral","status",85,9,8,102
"630",630,"2018-12-22","Sat","Family Planning","Counsel","Enact fear","status",67,6,10,83
"631",631,"2018-12-22","Sat","Sexual Purity","Counsel","Neutral","status",85,4,29,118
"632",632,"2018-12-24","Mon","Family Planning","Storytelling","Neutral","photo",55,2,24,81
"633",633,"2018-12-25","Tue","Sexual Abstinence","Counsel","Stigma","photo",178,15,482,675
"634",634,"2018-12-26","Wed","Sexual Abstinence","Counsel","Guilt","status",31,2,9,42
"635",635,"2018-12-27","Thu","Sexual Abstinence","Counsel","Enact fear","photo",200,80,27,307
"636",636,"2018-12-27","Thu","Sexual Purity","Storytelling","Neutral","status",20,2,3,25
"637",637,"2018-12-27","Thu","Abuse","Storytelling","Guilt","status",79,4,21,104
"638",638,"2018-12-27","Thu","Sexual Abstinence","Storytelling","Guilt","status",44,0,13,57
"639",639,"2018-12-27","Thu","Intimate Relations","Counsel","Neutral","status",25,6,1,32
"640",640,"2018-12-27","Thu","Sexual Purity","Request for opinion","Neutral","status",9,0,6,15
"641",641,"2018-12-28","Fri","Sexual Abstinence","Storytelling","Guilt","status",11,0,0,11
"642",642,"2018-12-28","Fri","Sexual Abstinence","Counsel","Neutral","status",389,41,99,529
"643",643,"2018-12-28","Fri","Intimate Relations","Request for opinion","Neutral","status",49,0,133,182
"644",644,"2018-12-28","Fri","Intimate Relations","Storytelling","Neutral","status",40,0,22,62
"645",645,"2018-12-28","Fri","Intimate Relations","Request for opinion","Neutral","photo",143,12,201,356
"646",646,"2018-12-28","Fri","Intimate Relations","Counsel","Neutral","status",30,0,8,38
"647",647,"2018-12-29","Sat","Intimate Relations","Counsel","Neutral","status",291,42,105,438
"648",648,"2018-12-29","Sat","Sexual Abstinence","Storytelling","Guilt","status",77,0,9,86
"649",649,"2018-12-29","Sat","Sexual Abstinence","Counsel","Neutral","status",11,0,1,12
"650",650,"2018-12-29","Sat","Sexual Abstinence","Counsel","Guilt","status",86,12,42,140
"651",651,"2018-12-30","Sun","Sexual Purity","Counsel","Neutral","status",23,2,2,27
"652",652,"2018-12-30","Sun","Sexual Abstinence","Counsel","Enact fear","status",155,9,78,242
"653",653,"2018-12-31","Mon","Intimate Relations","Request for opinion","Neutral","status",26,1,124,151
"654",654,"2018-12-31","Mon","Intimate Relations","Counsel","Stigma","status",103,39,86,228
"655",655,"2018-12-31","Mon","Sexual Abstinence","Storytelling","Neutral","photo",20,0,9,29
"656",656,"2019-01-01","Tue","Intimate Relations","Counsel","Neutral","status",87,7,29,123
"657",657,"2019-01-02","Wed","Family Planning","Counsel","Enact fear","status",80,8,49,137
"658",658,"2019-01-02","Wed","Intimate Relations","Counsel","Neutral","photo",41,10,3,54
"659",659,"2019-01-02","Wed","Sexual Abstinence","Counsel","Neutral","status",100,3,20,123
"660",660,"2019-01-02","Wed","Sexual Purity","Storytelling","Enact fear","status",63,5,3,71
"661",661,"2019-01-03","Thu","Sexual Abstinence","Request for opinion","Stigma","status",27,0,10,37
"662",662,"2019-01-03","Thu","Intimate Relations","Request for opinion","Neutral","status",36,0,138,174
"663",663,"2019-01-03","Thu","Sexual Abstinence","Experience sharing","Stigma","status",35,0,0,35
"664",664,"2019-01-05","Sat","Intimate Relations","Storytelling","Neutral","status",51,1,51,103
"665",665,"2019-01-06","Sun","Intimate Relations","Storytelling","Stigma","photo",32,0,28,60
"666",666,"2019-01-06","Sun","Abuse","Storytelling","Neutral","photo",657,31,103,791
"667",667,"2019-01-06","Sun","Sexual Purity","Counsel","Neutral","status",12,0,1,13
"668",668,"2019-01-07","Mon","Intimate Relations","Counsel","Guilt","status",56,3,10,69
"669",669,"2019-01-07","Mon","Intimate Relations","Counsel","Neutral","photo",10,1,1,12
"670",670,"2019-01-08","Tue","Intimate Relations","Counsel","Neutral","photo",530,109,68,707
"671",671,"2019-01-09","Wed","Sexual Abstinence","Counsel","Neutral","status",20,6,4,30
"672",672,"2019-01-09","Wed","Intimate Relations","Request for opinion","Neutral","status",11,0,16,27
"673",673,"2019-01-09","Wed","Intimate Relations","Counsel","Neutral","status",17,4,9,30
"674",674,"2019-01-08","Tue","Intimate Relations","Counsel","Guilt","status",343,11,38,392
"675",675,"2019-01-09","Wed","Sexual Purity","Request for opinion","Neutral","status",39,1,81,121
"676",676,"2019-01-10","Thu","Intimate Relations","Storytelling","Neutral","photo",71,9,10,90
"677",677,"2019-01-10","Thu","Sexual Purity","Counsel","Guilt","status",72,0,4,76
"678",678,"2019-01-10","Thu","Sexual Abstinence","Counsel","Neutral","status",100,24,16,140
"679",679,"2019-01-10","Thu","Intimate Relations","Counsel","Neutral","photo",7,0,1,8
"680",680,"2019-01-10","Thu","Sexual Abstinence","Counsel","Stigma","status",30,1,4,35
"681",681,"2019-01-10","Thu","Intimate Relations","Counsel","Stigma","photo",83,10,12,105
"682",682,"2019-01-10","Thu","Intimate Relations","Counsel","Neutral","status",67,12,6,85
"683",683,"2019-01-10","Thu","Sexual Purity","Counsel","Guilt","status",7,0,3,10
"684",684,"2019-01-10","Thu","Intimate Relations","Counsel","Neutral","status",22,0,15,37
"685",685,"2019-01-10","Thu","Sexual Abstinence","Counsel","Neutral","status",30,0,60,90
"686",686,"2019-01-11","Fri","Intimate Relations","Storytelling","Neutral","status",159,8,43,210
"687",687,"2019-01-11","Fri","Sexual Abstinence","Storytelling","Neutral","status",374,66,127,567
"688",688,"2019-01-11","Fri","Intimate Relations","Storytelling","Stigma","status",100,6,60,166
"689",689,"2019-01-11","Fri","Intimate Relations","Counsel","Neutral","status",7,1,0,8
"690",690,"2019-01-11","Fri","Sexual Abstinence","Request for opinion","Neutral","status",3,0,2,5
"691",691,"2019-01-11","Fri","Intimate Relations","Request for opinion","Neutral","status",13,0,18,31
"692",692,"2019-01-11","Fri","Sexual Purity","Experience sharing","Enact fear","photo",365,8,47,420
"693",693,"2019-01-12","Sat","Intimate Relations","Counsel","Neutral","photo",100,11,8,119
"694",694,"2019-01-12","Sat","Sexual Abstinence","Request for opinion","Neutral","status",21,0,11,32
"695",695,"2019-01-12","Sat","Intimate Relations","Counsel","Neutral","status",14,5,1,20
"696",696,"2019-01-12","Sat","Intimate Relations","Counsel","Guilt","photo",63,8,4,75
"697",697,"2019-01-12","Sat","Intimate Relations","Counsel","Guilt","status",30,7,10,47
"698",698,"2019-01-12","Sat","Sexual Abstinence","Counsel","Neutral","status",73,5,3,81
"699",699,"2019-01-13","Sun","Intimate Relations","Counsel","Neutral","status",7,1,0,8
"700",700,"2019-01-14","Mon","Sexual Purity","Experience sharing","Neutral","photo",556,30,42,628
"701",701,"2019-01-14","Mon","Sexual Purity","Storytelling","Guilt","status",352,89,89,530
"702",702,"2019-01-14","Mon","Sexual Abstinence","Counsel","Guilt","photo",14,1,0,15
"703",703,"2019-01-15","Tue","Sexual Abstinence","Counsel","Neutral","status",402,15,18,435
"704",704,"2019-01-15","Tue","Sexual Abstinence","Counsel","Neutral","status",151,15,20,186
"705",705,"2019-01-17","Thu","Intimate Relations","Counsel","Neutral","status",46,6,11,63
"706",706,"2019-01-16","Wed","Sexual Abstinence","Storytelling","Guilt","status",12,0,3,15
"707",707,"2019-01-17","Thu","Intimate Relations","Counsel","Neutral","status",52,5,7,64
"708",708,"2019-01-17","Thu","Sexual Purity","Counsel","Neutral","status",133,3,55,191
"709",709,"2019-01-17","Thu","Sexual Abstinence","Storytelling","Enact fear","photo",702,69,95,866
"710",710,"2019-01-17","Thu","Sexual Abstinence","Counsel","Neutral","status",231,31,59,321
"711",711,"2019-01-17","Thu","Sexual Purity","Counsel","Neutral","status",99,5,83,187
"712",712,"2019-01-17","Thu","Intimate Relations","Counsel","Neutral","photo",129,23,19,171
"713",713,"2019-01-17","Thu","Sexual Abstinence","Storytelling","Neutral","status",19,1,1,21
"714",714,"2019-01-18","Fri","Intimate Relations","Counsel","Neutral","status",38,1,6,45
"715",715,"2019-01-18","Fri","Intimate Relations","Counsel","Neutral","status",7,0,5,12
"716",716,"2019-01-18","Fri","Intimate Relations","Counsel","Neutral","photo",74,16,8,98
"717",717,"2019-01-18","Fri","Intimate Relations","Counsel","Neutral","status",30,4,0,34
"718",718,"2019-01-19","Sat","Sexual Abstinence","Storytelling","Neutral","status",108,6,69,183
"719",719,"2019-01-19","Sat","Intimate Relations","Counsel","Neutral","status",6,1,0,7
"720",720,"2019-01-20","Sun","Intimate Relations","Counsel","Guilt","status",124,21,39,184
"721",721,"2019-01-21","Mon","Intimate Relations","Counsel","Neutral","photo",113,11,8,132
"722",722,"2019-01-22","Tue","Intimate Relations","Counsel","Neutral","photo",4,0,0,4
"723",723,"2019-01-22","Tue","Intimate Relations","Counsel","Neutral","status",147,6,37,190
"724",724,"2019-01-22","Tue","Intimate Relations","Counsel","Neutral","photo",8,1,0,9
"725",725,"2019-01-23","Wed","Sexual Abstinence","Counsel","Neutral","status",40,1,5,46
"726",726,"2019-01-23","Wed","Intimate Relations","Counsel","Neutral","photo",91,12,12,115
"727",727,"2019-01-23","Wed","Intimate Relations","Counsel","Neutral","status",20,9,2,31
"728",728,"2019-01-23","Wed","Intimate Relations","Counsel","Neutral","status",78,1,11,90
"729",729,"2019-01-23","Wed","Intimate Relations","Storytelling","Guilt","photo",9,0,0,9
"730",730,"2019-01-23","Wed","Intimate Relations","Counsel","Neutral","status",23,3,5,31
"731",731,"2019-01-23","Wed","Intimate Relations","Counsel","Neutral","status",14,1,0,15
"732",732,"2019-01-23","Wed","Intimate Relations","Storytelling","Neutral","status",139,1,43,183
"733",733,"2019-01-23","Wed","Sexual Purity","Counsel","Neutral","status",18,0,0,18
"734",734,"2019-01-23","Wed","Sexual Abstinence","Counsel","Neutral","status",288,5,230,523
"735",735,"2019-01-23","Wed","Sexual Abstinence","Counsel","Neutral","status",311,1,270,582
"736",736,"2019-01-23","Wed","Intimate Relations","Request for opinion","Neutral","status",44,0,61,105
"737",737,"2019-01-23","Wed","Sexual Purity","Counsel","Neutral","status",25,0,2,27
"738",738,"2019-01-24","Thu","Sexual Abstinence","Counsel","Guilt","photo",86,15,13,114
"739",739,"2019-01-24","Thu","Sexual Abstinence","Experience sharing","Neutral","status",124,0,82,206
"740",740,"2019-01-24","Thu","Intimate Relations","Counsel","Enact fear","status",7,0,0,7
"741",741,"2019-01-24","Thu","Intimate Relations","Experience sharing","Neutral","status",760,73,117,950
"742",742,"2019-01-24","Thu","Intimate Relations","Counsel","Stigma","status",95,8,22,125
"743",743,"2019-01-24","Thu","Sexual Abstinence","Request for opinion","Neutral","status",27,0,55,82
"744",744,"2019-01-24","Thu","Sexual Abstinence","Counsel","Neutral","status",3,0,0,3
"745",745,"2019-01-24","Thu","Intimate Relations","Counsel","Neutral","status",10,1,3,14
"746",746,"2019-01-24","Thu","Sexual Abstinence","Counsel","Neutral","photo",382,9,74,465
"747",747,"2019-01-24","Thu","Sexual Purity","Counsel","Neutral","status",56,4,3,63
"748",748,"2019-01-24","Thu","Sexual Abstinence","Counsel","Neutral","status",216,14,46,276
"749",749,"2019-01-24","Thu","Sexual Abstinence","Counsel","Enact fear","status",89,2,12,103
"750",750,"2019-01-25","Fri","Intimate Relations","Counsel","Neutral","status",36,6,3,45
"751",751,"2019-01-25","Fri","Intimate Relations","Counsel","Neutral","status",77,27,14,118
"752",752,"2019-01-25","Fri","Intimate Relations","Counsel","Neutral","photo",158,25,22,205
"753",753,"2019-01-25","Fri","Sexual Abstinence","Counsel","Neutral","status",46,1,8,55
"754",754,"2019-01-25","Fri","Intimate Relations","Counsel","Neutral","link",31,0,3,34
"755",755,"2019-01-25","Fri","Intimate Relations","Counsel","Neutral","photo",225,2,6,233
"756",756,"2019-01-25","Fri","Intimate Relations","Counsel","Stigma","status",16,2,1,19
"757",757,"2019-01-25","Fri","Sexual Abstinence","Counsel","Enact fear","status",3,0,0,3
"758",758,"2019-01-25","Fri","Intimate Relations","Counsel","Neutral","photo",30,7,5,42
"759",759,"2019-01-25","Fri","Intimate Relations","Storytelling","Neutral","status",204,27,17,248
"760",760,"2019-01-25","Fri","Intimate Relations","Storytelling","Neutral","status",135,1,33,169
"761",761,"2019-01-26","Sat","Intimate Relations","Counsel","Neutral","status",123,3,55,181
"762",762,"2019-01-26","Sat","Intimate Relations","Counsel","Neutral","status",13,0,1,14
"763",763,"2019-01-25","Fri","Sexual Abstinence","Counsel","Neutral","photo",50,1,0,51
"764",764,"2019-01-26","Sat","Sexual Abstinence","Counsel","Guilt","status",68,4,27,99
"765",765,"2019-01-26","Sat","Intimate Relations","Counsel","Neutral","photo",108,9,9,126
"766",766,"2019-01-26","Sat","Sexual Purity","Storytelling","Neutral","photo",61,0,3,64
"767",767,"2019-01-26","Sat","Intimate Relations","Counsel","Neutral","status",14,12,5,31
"768",768,"2019-01-27","Sun","Intimate Relations","Counsel","Guilt","status",29,7,3,39
"769",769,"2019-01-26","Sat","Intimate Relations","Counsel","Neutral","status",21,0,0,21
"770",770,"2019-01-27","Sun","Intimate Relations","Request for opinion","Neutral","status",7,0,3,10
"771",771,"2019-01-27","Sun","Intimate Relations","Request for opinion","Neutral","status",6,0,1,7
"772",772,"2019-01-27","Sun","Intimate Relations","Request for opinion","Neutral","status",30,1,81,112
"773",773,"2019-01-27","Sun","Intimate Relations","Counsel","Neutral","photo",117,10,6,133
"774",774,"2019-01-27","Sun","Sexual Abstinence","Counsel","Stigma","status",48,0,0,48
"775",775,"2019-01-27","Sun","Sexual Abstinence","Counsel","Enact fear","status",78,26,16,120
"776",776,"2019-01-27","Sun","Intimate Relations","Counsel","Guilt","photo",97,38,11,146
"777",777,"2019-01-27","Sun","Intimate Relations","Counsel","Neutral","status",34,6,2,42
"778",778,"2019-01-27","Sun","Intimate Relations","Counsel","Neutral","status",26,1,2,29
"779",779,"2019-01-28","Mon","Intimate Relations","Counsel","Neutral","photo",41,7,2,50
"780",780,"2019-01-28","Mon","Intimate Relations","Counsel","Neutral","status",19,3,1,23
"781",781,"2019-01-28","Mon","Sexual Purity","Storytelling","Neutral","status",171,11,12,194
"782",782,"2019-01-28","Mon","Intimate Relations","Counsel","Neutral","status",112,20,15,147
"783",783,"2019-01-28","Mon","Intimate Relations","Counsel","Enact fear","photo",9,0,2,11
"784",784,"2019-01-28","Mon","Intimate Relations","Counsel","Neutral","photo",12,0,0,12
"785",785,"2019-01-28","Mon","Sexual Purity","Counsel","Stigma","status",41,0,9,50
"786",786,"2019-01-28","Mon","Intimate Relations","Counsel","Neutral","status",26,8,11,45
"787",787,"2019-01-29","Tue","Sexual Abstinence","Request for opinion","Neutral","status",7,0,25,32
"788",788,"2019-01-29","Tue","Intimate Relations","Request for opinion","Neutral","status",9,0,66,75
"789",789,"2019-01-28","Mon","Sexual Abstinence","Request for opinion","Neutral","status",17,0,63,80
"790",790,"2019-01-29","Tue","Sexual Abstinence","Storytelling","Guilt","status",12,3,22,37
"791",791,"2019-01-28","Mon","Sexual Abstinence","Request for opinion","Neutral","status",17,0,28,45
"792",792,"2019-01-29","Tue","Sexual Abstinence","Request for opinion","Neutral","status",18,2,45,65
"793",793,"2019-01-29","Tue","Intimate Relations","Counsel","Neutral","photo",25,3,2,30
"794",794,"2019-01-29","Tue","Abuse","Storytelling","Neutral","photo",8,0,0,8
"795",795,"2019-01-29","Tue","Intimate Relations","Experience sharing","Neutral","status",80,2,27,109
"796",796,"2019-01-29","Tue","Intimate Relations","Storytelling","Neutral","status",22,1,0,23
"797",797,"2019-01-29","Tue","Intimate Relations","Counsel","Neutral","status",9,1,4,14
"798",798,"2019-01-29","Tue","Intimate Relations","Counsel","Neutral","status",12,3,0,15
"799",799,"2019-01-29","Tue","Intimate Relations","Counsel","Neutral","status",6,0,0,6
