"","X","post_date","wday","post_topic","post_style","post_tone","post_type","post_reactions","post_shares","post_comments","total_inter"
"3290",3290,"2019-03-27","Wed","Sexual Abstinence","Counsel","Enact fear","photo",256,20,30,306
"3291",3291,"2019-03-29","Fri","Intimate Relations","Storytelling","Neutral","status",107,11,8,126
"3292",3292,"2019-03-28","Thu","Intimate Relations","Counsel","Neutral","photo",199,13,42,254
"3293",3293,"2019-03-29","Fri","Intimate Relations","Request for opinion","Neutral","status",55,0,90,145
"3294",3294,"2019-03-29","Fri","Sexual Abstinence","Counsel","Neutral","photo",14,2,1,17
"3295",3295,"2019-03-30","Sat","Intimate Relations","Counsel","Guilt","photo",36,6,0,42
"3296",3296,"2019-04-01","Mon","Intimate Relations","Counsel","Neutral","photo",203,7,150,360
"3297",3297,"2019-03-30","Sat","Sexual Abstinence","Counsel","Neutral","link",17,4,9,30
"3298",3298,"2019-03-30","Sat","Intimate Relations","Storytelling","Neutral","status",122,12,17,151
"3299",3299,"2019-03-30","Sat","Intimate Relations","Request for opinion","Neutral","status",35,1,51,87
"3300",3300,"2019-04-01","Mon","Intimate Relations","Storytelling","Neutral","photo",89,2,5,96
"3301",3301,"2019-03-31","Sun","Sexual Abstinence","Counsel","Neutral","status",24,0,1,25
"3302",3302,"2019-04-01","Mon","Intimate Relations","Counsel","Neutral","photo",78,12,7,97
"3303",3303,"2019-04-01","Mon","Sexual Abstinence","Counsel","Guilt","status",197,8,127,332
"3304",3304,"2019-04-02","Tue","Sexual Abstinence","Counsel","Neutral","status",11,0,0,11
"3305",3305,"2019-04-02","Tue","Intimate Relations","Storytelling","Neutral","status",180,24,26,230
"3306",3306,"2019-04-02","Tue","Sexual Abstinence","Counsel","Guilt","status",32,0,19,51
"3307",3307,"2019-04-03","Wed","Intimate Relations","Counsel","Neutral","status",11,0,2,13
"3308",3308,"2019-04-04","Thu","Intimate Relations","Counsel","Neutral","status",10,0,1,11
"3309",3309,"2019-04-03","Wed","Intimate Relations","Storytelling","Neutral","photo",91,4,8,103
"3310",3310,"2019-04-03","Wed","Sexual Abstinence","Counsel","Guilt","photo",123,25,20,168
"3311",3311,"2019-04-06","Sat","Intimate Relations","Storytelling","Guilt","status",10,1,2,13
"3312",3312,"2019-04-04","Thu","Sexual Abstinence","Counsel","Neutral","status",221,4,34,259
"3313",3313,"2019-04-04","Thu","Sexual Abstinence","Counsel","Neutral","status",111,1,13,125
"3314",3314,"2019-04-04","Thu","Sexual Abstinence","Counsel","Neutral","status",141,4,40,185
"3315",3315,"2019-04-04","Thu","Abuse","Storytelling","Neutral","status",67,0,16,83
"3316",3316,"2019-04-04","Thu","Intimate Relations","Request for opinion","Neutral","status",25,0,63,88
"3317",3317,"2019-04-04","Thu","Sexual Abstinence","Counsel","Stigma","status",43,0,3,46
"3318",3318,"2019-04-05","Fri","Sexual Abstinence","Counsel","Enact fear","status",42,17,7,66
"3319",3319,"2019-04-06","Sat","Sexual Purity","Counsel","Enact fear","status",46,4,6,56
"3320",3320,"2019-04-06","Sat","Sexual Abstinence","Counsel","Neutral","status",137,22,22,181
"3321",3321,"2019-04-06","Sat","Intimate Relations","Counsel","Neutral","status",14,1,8,23
"3322",3322,"2019-04-06","Sat","Intimate Relations","Storytelling","Neutral","photo",142,7,6,155
"3323",3323,"2019-04-06","Sat","Intimate Relations","Counsel","Neutral","status",7,0,0,7
"3324",3324,"2019-04-07","Sun","Intimate Relations","Counsel","Neutral","status",12,1,3,16
"3325",3325,"2019-04-09","Tue","Sexual Abstinence","Request for opinion","Guilt","status",66,2,174,242
"3326",3326,"2019-04-08","Mon","Intimate Relations","Counsel","Neutral","status",13,0,0,13
"3327",3327,"2019-04-09","Tue","Intimate Relations","Counsel","Neutral","status",37,10,20,67
"3328",3328,"2019-04-09","Tue","Intimate Relations","Counsel","Neutral","photo",13,4,1,18
"3329",3329,"2019-04-09","Tue","Intimate Relations","Request for opinion","Neutral","status",23,0,37,60
"3330",3330,"2019-04-10","Wed","Sexual Purity","Counsel","Neutral","photo",70,13,5,88
"3331",3331,"2019-04-10","Wed","Sexual Abstinence","Counsel","Neutral","status",178,32,34,244
"3332",3332,"2019-04-10","Wed","Abuse","Storytelling","Neutral","status",15,0,0,15
"3333",3333,"2019-04-11","Thu","Abuse","Counsel","Neutral","status",28,1,6,35
"3334",3334,"2019-04-11","Thu","Sexual Purity","Counsel","Neutral","status",7,0,0,7
"3335",3335,"2019-04-11","Thu","Sexual Purity","Counsel","Neutral","status",76,2,8,86
"3336",3336,"2019-04-11","Thu","Sexual Abstinence","Counsel","Neutral","status",69,10,19,98
"3337",3337,"2019-04-12","Fri","Intimate Relations","Counsel","Neutral","photo",129,6,8,143
"3338",3338,"2019-04-12","Fri","Intimate Relations","Counsel","Neutral","status",10,0,1,11
"3339",3339,"2019-04-13","Sat","Intimate Relations","Request for opinion","Neutral","status",41,0,57,98
"3340",3340,"2019-04-13","Sat","Intimate Relations","Counsel","Neutral","photo",226,6,2,234
"3341",3341,"2019-04-15","Mon","Sexual Purity","Counsel","Neutral","status",13,0,2,15
"3342",3342,"2019-04-13","Sat","Sexual Abstinence","Counsel","Enact fear","status",26,5,1,32
"3343",3343,"2019-04-13","Sat","Intimate Relations","Counsel","Enact fear","status",14,2,5,21
"3344",3344,"2019-04-13","Sat","Sexual Abstinence","Counsel","Guilt","status",54,0,3,57
"3345",3345,"2019-04-14","Sun","Abuse","Counsel","Neutral","status",64,12,7,83
"3346",3346,"2019-04-14","Sun","Sexual Abstinence","Storytelling","Enact fear","photo",94,4,16,114
"3347",3347,"2019-04-15","Mon","Sexual Abstinence","Storytelling","Enact fear","status",12,3,0,15
"3348",3348,"2019-04-16","Tue","Intimate Relations","Counsel","Neutral","status",6,0,0,6
"3349",3349,"2019-04-16","Tue","Intimate Relations","Counsel","Neutral","status",9,0,0,9
"3350",3350,"2019-04-16","Tue","Sexual Abstinence","Counsel","Enact fear","status",3,0,0,3
"3351",3351,"2019-04-16","Tue","Intimate Relations","Counsel","Neutral","photo",348,39,29,416
"3352",3352,"2019-04-16","Tue","Sexual Abstinence","Counsel","Neutral","photo",84,13,13,110
"3353",3353,"2019-04-16","Tue","Sexual Purity","Counsel","Neutral","status",4,0,0,4
"3354",3354,"2019-04-18","Thu","Intimate Relations","Counsel","Guilt","photo",27,8,2,37
"3355",3355,"2019-04-18","Thu","Intimate Relations","Counsel","Neutral","photo",295,68,49,412
